age,income,education_years,hours_per_week,experience_years,credit_score,owns_house,owns_car,num_dependents,city_tier,loan_approved
44,88814,1,71,18,699,1,0,5,2,1
26,27296,3,72,20,356,0,1,2,3,0
32,45398,11,78,20,512,0,0,0,1,0
32,55842,6,66,24,578,1,0,5,2,0
43,33261,14,5,22,679,1,1,3,2,0
59,96709,6,21,10,416,1,0,3,2,1
30,115985,16,20,32,750,1,1,0,3,1
68,126616,15,13,19,709,1,0,2,1,1
49,76704,18,57,24,666,1,1,5,1,0
56,87173,8,77,25,412,0,1,3,1,1
66,51781,13,63,39,463,0,1,5,3,0
69,33652,16,13,11,303,1,1,2,2,0
49,25103,4,16,31,322,0,1,3,1,0
21,45500,1,45,32,391,1,0,5,2,0
47,135332,19,19,9,768,1,1,2,3,1
54,120336,15,70,3,454,0,1,2,1,1
40,55529,13,79,14,506,0,0,2,3,0
56,133499,13,15,5,380,0,1,0,1,1
62,38452,0,12,26,782,0,0,1,1,0
32,69393,2,59,4,706,0,1,5,2,0
60,51174,6,10,4,402,1,0,2,3,0
46,84450,14,57,17,539,0,1,5,1,0
53,55436,18,24,27,564,0,1,2,1,0
30,67406,19,43,34,332,1,0,5,3,0
49,83059,1,76,21,334,0,0,3,2,0
24,35954,18,38,33,548,0,0,5,3,0
68,102722,8,61,3,349,0,0,1,1,0
39,139747,18,23,17,579,0,0,3,3,0
45,32356,4,75,25,451,0,1,3,2,0
19,148128,17,35,21,836,1,1,2,2,1
59,118499,15,44,32,529,0,0,4,2,1
62,22187,3,18,13,587,0,0,1,2,0
23,97243,11,41,30,694,1,0,3,2,0
45,55098,6,48,9,752,0,1,4,2,0
45,112471,13,13,23,332,1,1,4,2,1
61,41225,11,62,20,662,1,0,3,1,0
61,23606,2,24,7,410,1,1,2,3,0
37,148664,4,54,31,420,0,0,0,2,1
47,77620,16,24,30,315,0,1,3,3,0
28,52828,9,40,33,822,0,0,2,3,0
45,146270,9,31,22,397,0,0,1,1,1
42,46489,10,76,24,415,1,1,2,3,0
56,34387,16,36,6,770,1,1,4,3,0
50,89463,4,5,18,738,1,0,1,2,0
18,91832,12,21,6,580,0,0,1,2,1
44,115980,9,13,7,648,1,1,0,3,0
69,131926,8,49,13,531,0,0,0,2,1
30,132429,16,70,0,410,1,0,3,1,1
58,22591,0,36,12,651,1,0,2,3,0
20,143446,3,49,2,311,1,0,3,3,1
56,130431,3,13,27,787,0,0,0,1,1
23,68516,17,34,37,832,1,0,4,1,0
25,111683,8,42,14,584,1,1,0,1,1
44,82061,17,64,35,844,0,1,2,1,0
26,124425,13,5,2,691,1,0,4,3,1
54,86736,14,9,3,469,1,0,3,2,0
50,101257,5,67,4,376,0,1,3,2,0
68,81753,9,40,25,596,0,0,0,2,0
59,104774,14,69,24,629,0,1,0,2,1
61,31087,3,77,9,362,0,1,5,1,0
41,50816,17,28,7,569,1,0,3,2,0
32,43408,17,8,11,515,1,0,3,2,0
49,144116,16,72,2,489,0,0,1,3,1
49,125276,11,29,26,374,1,1,2,3,1
41,20136,6,78,22,809,1,1,1,2,0
58,37413,15,11,39,392,0,0,1,1,0
69,133650,10,17,32,352,1,0,3,2,1
66,79500,13,72,13,795,1,0,5,1,0
66,104514,2,47,22,393,1,1,2,3,0
69,76358,18,61,30,528,0,0,3,1,0
29,86197,17,40,12,549,1,1,1,2,1
56,120776,9,18,11,690,1,0,1,3,1
19,112789,5,76,34,481,1,0,3,2,1
20,112420,12,31,17,566,0,1,0,2,1
66,52854,9,41,20,580,0,1,0,1,0
54,96240,17,75,0,382,1,1,3,2,1
66,124523,19,29,37,485,1,1,4,2,1
34,149494,15,71,8,830,0,1,4,3,1
66,110063,5,8,22,647,0,1,0,1,1
19,36322,12,78,13,722,0,0,2,1,0
19,133053,3,20,10,753,0,1,5,3,1
45,26968,13,23,6,566,1,0,1,3,0
40,47518,0,33,30,806,0,0,2,1,0
54,71925,19,55,23,441,0,0,0,3,0
49,79848,4,22,25,615,0,1,3,1,1
50,131900,7,62,29,531,0,1,4,3,1
18,113422,11,48,33,596,1,0,0,1,1
36,21700,1,20,37,321,1,0,2,1,0
19,113782,11,69,4,683,1,0,2,3,1
61,121004,4,6,4,425,1,1,5,2,1
43,43199,4,60,18,402,0,0,0,2,0
49,64589,12,32,37,409,1,1,1,3,0
23,52115,8,69,27,771,1,0,2,1,0
49,81934,9,9,25,364,0,1,1,3,0
21,136335,0,26,22,771,1,1,1,2,1
28,140726,2,17,29,375,1,0,3,1,1
34,74316,17,69,2,318,1,1,0,1,0
55,25520,11,20,27,683,0,0,0,1,0
41,129814,2,68,32,489,0,0,1,2,1
22,56455,8,36,2,659,0,0,3,2,0
69,135284,1,55,4,751,1,0,2,1,1
51,106465,2,62,18,378,0,0,2,1,1
23,143364,13,50,0,471,0,1,0,2,1
39,61605,3,56,37,511,1,0,1,2,1
28,34955,18,67,8,744,0,1,3,1,0
65,64049,12,64,4,448,1,0,3,3,0
33,33917,6,69,33,309,1,0,2,3,0
50,90293,11,59,36,841,0,1,2,3,0
26,98581,2,61,32,354,1,0,4,2,0
23,139072,8,75,24,479,1,0,4,3,1
33,84925,1,77,28,680,1,1,1,3,1
46,127216,8,30,24,721,0,1,4,2,1
20,90269,11,16,8,750,1,0,3,3,0
37,50954,11,75,2,392,0,0,4,1,0
53,116671,14,50,14,819,0,0,0,2,0
36,92617,1,51,3,712,1,0,0,1,0
43,61458,17,42,37,693,1,0,5,3,0
20,109037,12,25,19,630,1,0,2,1,1
36,41113,13,18,22,732,1,0,2,2,0
37,119977,4,6,36,462,1,0,1,3,1
49,132622,9,76,7,339,0,0,0,2,1
24,145947,11,74,36,384,0,1,5,3,0
69,110226,9,37,32,390,1,1,1,2,1
58,63939,10,10,32,783,0,0,1,2,0
50,49345,1,41,6,684,0,1,4,1,0
57,144616,4,18,21,492,0,1,2,2,1
56,66313,6,41,4,552,1,0,1,2,0
35,130107,5,12,14,543,0,1,1,1,1
57,141866,2,17,20,569,0,1,2,3,1
18,112365,12,44,24,318,0,1,2,3,0
28,120598,2,62,16,339,1,1,0,2,1
45,89166,5,22,6,815,0,1,2,1,0
42,67861,10,61,18,332,1,0,4,3,0
67,117406,16,42,6,749,0,0,0,1,1
40,69298,9,36,39,838,1,1,5,2,0
48,67221,11,70,23,618,0,1,1,1,0
47,64942,16,29,10,423,1,1,4,2,1
59,23453,3,62,0,671,0,0,4,3,0
52,122811,1,79,31,650,1,1,0,3,1
24,74935,10,37,39,622,1,0,1,3,0
33,142439,6,70,1,787,0,1,0,3,0
43,63370,1,34,14,750,0,1,3,1,0
65,123932,17,38,20,652,1,0,3,1,0
69,28328,3,73,23,415,1,0,0,1,0
66,35534,7,52,16,312,0,0,1,2,0
19,105280,19,44,8,619,1,1,1,3,1
18,104925,13,55,34,464,0,1,2,3,1
65,56320,11,17,19,384,0,0,4,3,1
29,69170,17,35,18,547,1,1,0,1,1
22,120546,10,43,17,731,0,0,4,1,1
54,100201,7,67,19,778,1,0,4,3,1
49,148935,1,52,29,667,0,1,3,2,1
26,141006,14,52,39,656,0,1,3,1,1
58,123401,8,65,0,707,0,1,5,3,1
52,28640,18,16,23,644,0,1,0,3,0
36,120252,19,60,23,478,0,1,5,3,1
65,111057,7,22,18,724,0,1,0,2,0
33,50049,18,31,29,840,0,1,1,3,0
20,25618,4,32,25,742,0,0,0,1,0
37,122540,10,56,37,605,0,0,1,2,1
41,76053,14,20,28,666,0,1,1,2,0
50,21920,7,62,12,335,0,0,0,3,0
41,63937,18,13,3,762,0,0,1,1,0
69,89724,7,30,16,445,1,0,4,1,1
28,32207,18,32,32,445,1,0,1,3,0
66,85774,17,40,4,679,0,1,4,3,0
25,52972,9,13,27,467,0,0,4,1,0
53,30799,6,51,23,574,1,0,4,2,0
55,91088,8,55,16,386,0,1,2,2,1
57,48916,0,61,38,453,0,0,5,3,0
37,90463,18,36,39,796,0,0,2,3,0
52,113500,4,71,10,614,1,1,1,1,1
65,96700,18,61,11,573,0,0,5,1,0
42,57158,0,58,12,561,1,1,5,1,1
52,104607,14,20,7,786,1,1,5,1,0
42,139639,15,66,0,753,0,1,0,3,1
46,133945,6,60,8,742,1,0,1,3,1
35,91696,11,27,27,561,1,0,2,1,0
63,81510,7,21,1,842,1,1,5,3,0
35,140076,4,42,13,404,0,1,5,3,0
19,78692,9,76,12,649,0,1,3,1,0
52,81744,4,34,1,737,1,0,5,2,1
33,35810,16,62,3,468,0,0,5,2,0
58,25126,4,26,11,642,1,1,3,1,0
53,50009,14,21,9,529,0,0,1,2,0
50,119120,12,19,2,322,0,0,2,3,1
21,131718,0,52,3,580,1,1,4,2,1
50,110932,10,36,5,818,0,0,2,1,0
31,20192,0,44,22,552,1,0,1,1,0
38,136464,10,61,4,703,0,1,2,2,0
65,56413,17,62,2,432,1,0,3,2,0
37,32816,17,20,9,573,0,0,5,3,0
25,59082,15,32,18,531,1,0,5,2,0
24,85048,12,5,13,844,0,1,4,2,0
20,143130,6,45,20,378,0,0,1,2,1
34,70940,0,52,27,334,1,0,5,3,0
50,52130,15,35,20,794,0,0,1,2,0
65,60142,0,40,35,409,1,0,0,3,0
29,149564,16,37,23,620,0,0,4,3,0
68,56468,5,37,37,627,1,1,1,1,0
39,50698,1,27,16,683,1,0,2,1,0
39,30655,16,64,21,663,1,1,2,3,0
63,67897,5,34,18,531,1,0,2,3,1
47,50075,13,49,9,713,1,1,2,3,0
55,29359,17,43,10,593,1,1,1,1,0
55,149048,5,49,37,846,1,0,3,3,1
62,122197,9,16,1,473,1,1,4,1,1
68,125115,17,36,32,691,0,0,2,1,1
25,62056,8,60,30,401,0,1,1,3,0
44,71831,7,28,34,592,0,0,5,3,0
44,79191,9,17,36,384,0,0,5,3,1
51,138592,16,24,35,500,1,0,1,1,1
38,141948,5,60,22,840,1,0,2,2,1
47,53272,13,57,35,596,0,1,0,3,0
50,128117,5,72,39,355,0,0,1,2,1
45,34671,6,58,38,771,1,0,4,2,0
64,47048,11,38,25,315,0,0,4,2,0
50,96274,2,32,24,365,1,1,0,2,1
22,45963,13,54,16,771,0,0,5,2,0
65,63954,18,6,14,322,1,1,5,1,1
36,92309,15,30,36,785,1,1,1,1,1
21,122120,6,55,3,714,0,0,0,1,1
52,115430,7,51,21,604,0,1,1,2,1
66,20717,17,30,16,476,1,0,1,1,0
34,31676,12,79,21,494,0,1,0,3,0
61,24434,8,78,16,312,0,0,5,2,0
45,69810,9,65,13,465,1,0,3,3,0
47,123361,8,27,13,449,0,0,2,2,0
46,138696,14,41,16,640,0,1,2,2,1
63,114636,19,45,7,473,1,1,2,2,1
23,24994,1,56,33,466,1,1,0,2,1
52,24234,12,53,25,396,1,1,1,3,0
58,89300,1,31,29,703,0,0,1,2,0
54,63949,18,10,21,376,1,0,4,2,0
41,57405,1,78,15,536,0,1,1,1,0
46,54872,2,70,29,590,0,1,5,2,1
66,62215,5,28,15,435,0,1,3,2,0
63,43185,2,42,37,666,0,1,2,2,0
48,63442,9,32,23,847,1,0,5,2,0
52,143263,5,32,35,547,0,0,5,2,1
50,71759,15,70,34,513,0,0,3,2,0
69,61153,16,65,5,369,0,1,2,3,0
38,97535,18,50,3,628,1,1,0,3,1
49,122023,2,73,17,315,1,1,3,2,1
40,22581,17,79,5,786,1,1,5,3,0
50,71717,6,78,25,473,0,0,1,1,0
20,22763,8,47,36,573,0,0,2,1,0
35,112910,19,63,26,823,1,1,4,2,1
42,75480,11,6,10,518,1,0,3,2,0
59,58759,4,19,37,812,0,0,5,3,0
48,96067,2,41,15,698,1,0,0,1,1
20,138094,10,75,18,410,0,0,5,2,1
57,45307,3,24,14,763,1,1,4,1,0
63,116371,4,39,25,392,0,0,0,3,1
41,31064,0,38,30,750,0,0,2,2,0
67,96848,17,35,18,695,0,0,3,2,0
49,57548,11,23,23,778,1,0,0,2,0
64,56945,12,72,8,615,1,1,4,1,0
39,67937,8,28,22,652,0,0,5,3,0
40,26476,1,43,3,538,1,0,4,1,0
19,71756,4,58,9,403,0,1,1,1,0
44,110101,12,43,8,328,1,1,0,2,1
59,22382,15,21,18,388,1,1,3,3,0
19,69683,15,23,14,674,0,1,3,3,1
43,107999,2,52,33,696,1,1,5,2,1
34,65276,3,39,18,663,1,1,5,3,0
57,53402,10,36,20,446,0,0,5,2,0
50,111881,13,51,33,613,0,0,1,2,0
26,130300,2,51,16,847,0,1,4,3,1
60,46946,15,68,17,751,0,0,5,3,0
65,99698,14,50,16,805,1,0,0,3,0
56,134690,9,39,1,785,1,0,5,3,1
46,132309,8,21,0,400,0,0,4,1,0
59,93933,10,46,9,406,1,0,0,2,0
43,42335,15,33,36,590,0,1,0,2,0
52,65095,9,74,4,648,0,0,0,2,0
67,99930,16,21,11,526,0,0,4,2,0
42,149974,18,18,35,349,1,1,5,1,1
41,47197,1,28,30,457,1,0,4,3,0
30,147619,1,61,37,627,1,0,4,3,1
24,42010,5,54,8,376,0,0,2,3,0
53,44123,18,61,25,753,0,0,4,2,0
62,107923,7,65,14,609,1,0,1,1,1
37,22890,2,43,15,626,1,0,2,1,0
18,113305,13,59,12,807,1,1,0,3,1
25,129162,15,40,24,406,1,0,5,2,1
63,140927,0,41,29,540,0,1,3,3,1
33,28026,2,18,6,734,1,1,5,2,0
31,84925,17,31,3,327,1,0,2,3,1
29,88842,8,35,39,548,0,0,2,3,0
68,53665,5,77,37,663,1,0,0,1,0
40,29277,0,48,29,832,1,1,4,2,0
32,62239,9,72,9,771,1,1,4,1,0
45,67664,5,52,29,838,0,1,2,1,0
51,68008,11,61,38,712,0,0,4,3,0
19,34683,3,79,6,464,1,1,2,2,0
49,20670,12,26,35,347,0,0,5,2,0
40,109211,16,8,34,783,1,0,3,3,1
39,37889,7,76,23,457,1,1,5,3,0
68,75612,19,50,38,450,0,1,3,3,0
42,64535,2,63,35,524,1,0,0,2,0
39,98542,11,38,19,559,0,1,1,3,0
39,74319,6,15,31,686,0,1,1,3,0
66,134072,11,35,38,555,0,0,5,1,1
69,112067,1,15,25,360,1,1,4,3,1
59,41639,13,60,25,695,1,1,1,3,0
23,84712,4,42,35,696,1,0,3,2,0
32,36633,8,25,34,461,1,0,0,3,0
60,141145,10,14,34,679,0,1,3,2,1
54,54660,4,30,11,742,1,1,2,1,0
50,88975,2,12,32,648,1,1,4,1,1
25,52172,16,12,35,330,0,0,4,2,1
61,79197,1,64,13,370,0,1,1,3,0
61,121158,0,76,32,696,1,0,2,2,0
22,78847,6,38,23,737,0,0,1,3,0
56,31577,13,20,14,301,1,0,1,3,0
21,97299,4,17,30,434,1,0,1,3,0
23,40176,18,26,16,445,0,1,2,2,0
62,64386,10,31,11,478,0,1,1,1,0
49,83972,1,68,21,563,1,1,4,2,1
69,140018,7,6,22,610,1,1,1,3,1
47,109791,8,30,25,503,1,1,2,2,1
64,61003,2,73,13,329,1,0,2,1,0
52,39996,1,34,11,358,1,0,3,2,0
57,120922,6,12,3,308,0,1,1,1,1
69,106598,4,42,12,623,1,1,2,1,1
33,55931,4,65,17,466,0,1,5,3,0
30,144168,19,69,27,636,0,1,1,1,1
67,55710,12,71,37,678,0,0,0,2,1
59,143099,19,50,18,541,1,1,4,2,1
47,54693,5,76,37,459,1,0,4,3,1
36,55740,19,47,2,534,0,0,5,2,1
34,97241,17,63,18,752,0,1,1,3,0
36,128944,1,50,19,498,0,0,4,2,1
45,113583,5,76,24,776,0,1,4,2,1
43,96502,8,39,10,332,0,0,0,1,1
54,37374,2,43,16,707,1,0,4,1,0
43,96674,0,55,34,388,0,0,4,1,1
40,136500,0,8,13,520,1,0,2,2,1
26,101471,18,55,38,368,0,0,4,3,1
29,65913,4,9,18,593,0,1,1,3,0
18,143683,12,59,2,536,1,0,4,3,1
18,86025,18,24,33,459,1,1,1,1,0
64,64516,11,28,21,589,0,1,4,2,0
51,107796,15,40,37,832,1,0,1,1,1
49,46069,18,38,26,634,1,1,4,2,0
65,138333,2,58,20,801,0,0,5,2,1
42,76233,11,38,30,545,0,1,1,2,0
57,104811,4,21,26,622,0,1,4,1,1
62,79049,1,9,36,628,1,0,0,2,1
18,121820,6,22,1,846,0,1,2,1,1
33,138028,12,59,8,638,0,1,2,1,1
56,59178,14,57,18,470,1,1,2,2,0
22,52821,2,54,35,409,0,0,2,2,0
39,71727,19,76,9,309,1,1,0,2,0
46,80935,4,49,39,501,1,1,5,1,0
20,36999,7,17,38,556,0,0,5,2,0
29,82522,0,20,6,561,1,1,0,2,1
43,58712,7,17,3,729,1,0,4,3,0
33,84551,17,24,14,806,0,1,0,3,0
68,60172,19,70,11,365,1,1,2,3,0
54,53722,15,51,5,334,0,1,5,2,0
39,30625,17,23,8,790,0,0,3,1,0
46,87165,19,49,34,553,0,1,4,3,0
31,96509,11,41,7,316,0,0,1,1,0
45,26859,12,58,6,560,0,0,5,3,0
22,61609,12,10,3,555,1,1,2,3,0
64,63307,9,18,12,723,1,1,5,1,0
66,130986,6,8,18,800,1,0,2,3,1
47,121582,13,59,6,585,0,1,2,1,1
63,41839,15,38,9,306,0,1,5,2,0
69,47216,14,31,24,796,0,1,5,2,1
22,72953,11,11,34,498,0,1,5,1,0
29,104481,8,7,24,717,1,0,0,1,1
33,80593,7,51,28,351,1,1,5,2,1
43,92075,17,6,11,542,0,0,1,1,0
43,69522,17,29,39,518,0,0,4,2,0
65,119161,12,64,11,817,0,0,2,2,1
38,24886,17,28,5,408,1,0,5,1,0
56,131249,14,19,9,650,1,0,1,3,1
53,27485,3,18,1,365,0,0,3,1,0
50,51455,16,58,24,309,0,0,5,2,0
47,131984,4,10,6,501,1,1,0,3,1
54,36767,15,22,39,513,1,1,2,3,0
40,132701,8,24,22,367,0,0,1,2,1
27,48453,9,66,10,626,0,1,5,3,0
22,96280,17,44,35,349,0,1,1,3,0
53,122638,16,43,22,316,1,1,2,1,1
51,73442,17,56,6,822,0,1,1,2,1
69,71877,6,36,26,605,1,0,1,3,0
48,32226,3,77,12,691,0,1,5,2,0
27,113405,4,31,16,423,0,0,5,1,0
36,42588,15,56,31,803,0,1,4,1,0
49,98976,2,67,25,524,1,1,0,1,0
18,51709,17,78,21,617,0,0,4,3,0
22,67788,13,67,12,772,1,0,0,1,0
62,108031,14,21,11,840,0,0,0,2,1
21,57019,16,53,6,657,1,1,4,1,0
33,64948,0,27,0,782,0,1,2,3,1
41,85133,16,76,32,728,1,1,1,1,1
33,134444,10,17,13,796,0,0,3,3,0
19,86458,16,27,16,771,1,0,4,2,0
66,137603,13,61,3,599,1,0,4,1,1
45,47526,19,66,38,383,0,0,2,1,0
49,93493,18,58,0,676,1,0,1,2,1
44,148585,6,24,23,612,1,1,5,2,1
37,72198,12,56,33,619,0,0,4,3,0
41,134100,17,27,33,503,1,0,3,1,1
29,143854,13,39,23,654,0,1,1,1,1
67,119534,0,71,14,593,0,0,4,1,0
52,63395,6,38,16,803,1,0,5,1,0
50,44031,7,37,12,444,1,0,4,2,0
50,95542,17,50,6,838,1,0,5,1,0
68,145814,8,49,8,316,1,1,0,1,1
60,57701,0,23,34,338,1,0,0,1,1
54,132599,16,19,22,429,0,1,4,3,1
29,45939,18,70,38,414,0,0,2,3,0
20,69145,5,43,22,749,1,1,0,3,0
18,40324,2,22,25,344,1,1,4,2,1
50,42867,4,74,0,515,1,0,5,2,0
57,20203,1,63,13,714,1,1,1,2,0
27,36544,19,36,31,564,1,1,5,1,0
60,35899,3,25,9,739,0,1,3,1,0
61,49063,9,44,0,680,0,0,0,2,0
46,110880,9,31,4,600,0,1,4,3,0
30,23748,10,6,2,470,1,1,0,1,0
29,125022,15,43,26,705,1,1,5,3,1
48,137269,16,60,21,654,1,0,5,1,1
63,86629,15,17,17,460,0,0,1,1,0
19,100764,6,60,15,325,0,1,2,3,0
68,40884,15,70,1,382,0,1,4,2,0
67,45183,2,60,12,472,0,0,1,3,0
52,101570,15,32,15,369,1,1,3,2,1
40,91246,7,68,7,305,1,0,4,2,0
34,128036,11,75,7,494,1,1,3,1,1
43,39259,2,68,9,824,1,1,2,1,0
25,55959,16,60,32,362,1,0,4,1,1
46,136525,17,45,30,312,1,0,4,2,1
43,53457,10,45,11,504,0,1,1,2,0
27,105679,3,8,8,339,1,0,0,3,1
43,145829,15,61,36,464,1,1,4,1,1
51,148216,16,34,8,330,1,1,2,1,1
68,22103,8,50,17,828,1,0,4,2,0
58,85901,5,60,29,697,1,1,4,1,0
24,132314,19,35,31,758,1,1,4,2,1
21,64535,1,11,39,522,1,0,4,3,0
67,36103,8,58,22,377,1,1,2,3,0
62,118046,5,12,10,727,0,1,1,1,0
28,110012,2,59,19,724,0,1,0,3,1
46,98278,19,73,18,686,0,1,2,1,0
53,32391,5,48,35,538,1,0,2,1,0
42,122476,6,17,25,389,0,1,3,2,1
38,48901,0,24,9,684,1,1,0,2,0
53,140721,0,36,23,438,0,1,1,1,1
27,117537,4,64,12,823,0,1,5,3,0
